Код группы;Группа;ЭталоннаяПозицияКод;ЭталоннаяПозиция;Код;Номенклатура;ТипПозиции;ПометкаУдаления
106182;Материала склада 66 на 10.02;69685;Фонарь стоп-сигнал;124306;Фонарь стоп-сигнал 5292,3237(481-3776);Дублирующая позиция;Да
106182;Материала склада 66 на 10.02;49619;ЭЛЕКТРОДВИГАТЕЛЬ МЭ-237 ЛИАЗ-5256;124430;Электродвигатель отопителя  МЭ-237 24В (211.3780);Дублирующая позиция;Да
106393;Прочее;91240;Охладитель наддув, воздуха;125574;Охладитель наддув. воздуха 51,09500-7153;Дублирующая позиция;Да
106400;Стекло;94480;Стекло ветровое левое;125834;Стекло лобовое(5292-5206015);Дублирующая позиция;Да
106422;Корпуса;119396;Вал ЭК4.02.011 коленчатый в сборе;263809;Корпус ЭК4.01.011 клапанной коробки;Дублирующая позиция;Нет
106469;Фитинги;97413;Фитинг угловой;126544;Фитинг М16х1.5 9502-6 угловой;Дублирующая позиция;Да
106469;Фитинги;79319;Фитинг прямой;126547;Фитинг М16х1.5 9512-8 прямой;Дублирующая позиция;Да
106477;Выключатели;184176;Выключатель концевой 15.3720;126671;Выключатель 15.3720;Дублирующая позиция;Да
106480;Кабель;86852;Жгут проводов;126691;Кабель 4149206098;Дублирующая позиция;Да
106484;Прочии все для электрики;77696;Контроллер ТП 24.01.1 Л-5292;126751;Контроллер ТП 24.01.1;Дублирующая позиция;Да
106484;Прочии все для электрики;78677;"Разъем фонаря 2-контактный ""папа""";126771;Разъём 2х конт.кзад фонорям 282080-1;Дублирующая позиция;Да
106489;Фонари;69685;Фонарь стоп-сигнал;126839;Фонарь стоп-сигнала 5292 Волжанин (481.3776);Дублирующая позиция;Да
106496;Круг;203611;КРУГ 10 СТ 20;126883;Круг 10 ст20;Дублирующая позиция;Да
106508;Материалы склада Сколково;188010;Пресс-масленка, угловая на 120 градусов, D 8 мм;127706;Пресс-масленка 8мм 120градус.;Дублирующая позиция;Да
106508;Материалы склада Сколково;71382;Крес.кар.вала рул.упр.408-2201026-04ЛиАЗ;127824;Крес.кард.вала рул.упр.408-2201026-0;Дублирующая позиция;Да
106508;Материалы склада Сколково;83368;Фонарь передний габаритный огонь;128316;Фонарь габаритный 78,3731;Дублирующая позиция;Да
106508;Материалы склада Сколково;69704;Фонарь габаритный задний красный;229149;Фонарь задн.ЛиАЗ-5292,5256 круглый габарт.крас.541,3731;Дублирующая позиция;Да
106630;Материалы;14613;Песок карьерный;132387;Песок карьерный;Дублирующая позиция;Да
106724;СКЛАД - Артеменко С.Ю._10.1.1;9900;Картридж струйный НР 51645А;143847;Картридж НР 51645А;Дублирующая позиция;Да
106734;Услуги;7774;Металлолом (т);144551;Металлолом;Дублирующая позиция;Да
106757;Топливо;103814;Смазка Шрус-4;146998;3346 Смазка ШРУС-4;Дублирующая позиция;Да
106761;Запчасти;238029;Лампа заднего хода  W16W 12V безцокольная;250433;Лампа заднего хода;Дублирующая позиция;Да
106764;Материалы САБ;7774;Металлолом (т);153179;Металлолом;Дублирующая позиция;Да
106765;Загруженная номенклатура;82571;Аккумулятор 6СТ-74;147390;Аккумулятор;Дублирующая позиция;Да
106765;Загруженная номенклатура;98586;Втулка;147918;Втулка ушка силового цилиндра;Дублирующая позиция;Да
106765;Загруженная номенклатура;243741;Глушитель ГАЗ-33021 33078-1201010;148121;Глушитель Газель;Дублирующая позиция;Да
106765;Загруженная номенклатура;83871;Фонарь светоотражатель красный;148714;Катафот МАЗ,КРАЗ;Дублирующая позиция;Да
106765;Загруженная номенклатура;99517;Крестовина рулевого кардана МАЗ;149253;Крестовина;Дублирующая позиция;Да
106765;Загруженная номенклатура;7774;Металлолом (т);149702;Металлолом;Дублирующая позиция;Да
106765;Загруженная номенклатура;7774;Металлолом (т);149703;Металлолом;Дублирующая позиция;Да
106765;Загруженная номенклатура;70748;Подшипник шариковый компрессора;150462;Подшипник вала перв. Зил -130,5301;Дублирующая позиция;Да
106765;Загруженная номенклатура;53129;Прокладка клапанной крышки 238-1003270;150772;Прокладка крышки клапанной;Дублирующая позиция;Да
106765;Загруженная номенклатура;42187;Паёк сухой;151864;Сухой паек;Дублирующая позиция;Да
106765;Загруженная номенклатура;84576;Указатель поворота боковой  допол.;152168;Указатель (повторитель) поворота-МаЗ;Дублирующая позиция;Да
106765;Загруженная номенклатура;243860;Фильтр воздушный VAG 1K0129620D;152312;Фильтр воздушный;Дублирующая позиция;Да
106765;Загруженная номенклатура;82944;Шайба 24 Т;152681;Шайба гровер 24Т (подкатной);Дублирующая позиция;Да
106765;Загруженная номенклатура;243874;Щётки стеклоочистителя 480-600мм;153064;Щетки стеклоочистителя;Дублирующая позиция;Да
106828;Материалы;14203;Текстолит 4мм;174231;Текстолит 4.0мм;Дублирующая позиция;Да
106856;Служба пути;5192;Краска Эмаль ПФ-115 красно-коричн.;182624;Эмаль ПФ-115 красно-коричневая;Дублирующая позиция;Да
106857;Материалы 1 дист;31931;Молоко;176688;Молоко;Дублирующая позиция;Да
106890;Счет учета 10.01;16361;Губка-стиратель;179594;Губка-стиратель;Дублирующая позиция;Нет
106890;Счет учета 10.01;7774;Металлолом (т);180000;металлолом;Дублирующая позиция;Да
106890;Счет учета 10.01;7774;Металлолом (т);180002;металлолом;Дублирующая позиция;Да
106903;Номенклатура СМТО;237985;Стекло боковое 529801-55(52);277002;"Стекло боковое около ветрового МАС - Т.083.000-02/03	1245х310 	Троллейбус ВМЗ-5298-01 ""Авангард""";Дублирующая позиция;Да
106908;З/части автоб (413);212520;Болт ZF;183501;Болт;Дублирующая позиция;Да
106908;З/части автоб (413);91979;Втулка шкворня кулака (сталь) ЛИАЗ;184128;Втулка шкворня ЛиАЗ 5256-3001027 (СТАЛЬНАЯ)   распорная;Дублирующая позиция;Да
106908;З/части автоб (413);91979;Втулка шкворня кулака (сталь) ЛИАЗ;184129;Втулка шкворня ЛиАЗ 5256-3001027 (СТАЛЬНАЯ)   распорная,;Дублирующая позиция;Да
106908;З/части автоб (413);184176;Выключатель концевой 15.3720;184178;Выключатель концевой ЛиАЗ-5256/6212   15.3720,;Дублирующая позиция;Да
106908;З/части автоб (413);81466;Генератор трехфазный синхронный с электромагнитным возбуждением, со встроенным выпрямителем;184285;Генератор ЛиАЗ 140 А;Дублирующая позиция;Нет
106908;З/части автоб (413);216062;Камера тормозная переднего моста;185016;Камера тормозная ЛиАЗ переднего моста (мост ЗФ);Дублирующая позиция;Да
106908;З/части автоб (413);216494;Колодки тормозные;185323;Колодки тормозные ЛИАЗ-5292, 6213, Волжанин;Дублирующая позиция;Да
106908;З/части автоб (413);77696;Контроллер ТП 24.01.1 Л-5292;185740;Контроллер ЛиАЗ-5292;Дублирующая позиция;Да
106908;З/части автоб (413);99517;Крестовина рулевого кардана МАЗ;185879;Крестовина рулевого кардана МАЗ-103;Дублирующая позиция;Да
106908;З/части автоб (413);81163;Лампа 12Vx55W(Н3);186055;Лампа 12Vx55W(Н3);Дублирующая позиция;Да
106908;З/части автоб (413);250737;Стекло  ветровое водительское 103-5206011;186227;МАЗ Стекло лобовое лев.(1200х1070) МАЗ 103-5206011;Дублирующая позиция;Да
106908;З/части автоб (413);250738;Стекло  ветровое 103-5206010;186228;МАЗ Стекло лобовое прав.(1200х1070) МАЗ 103-5206010;Дублирующая позиция;Да
106908;З/части автоб (413);66393;Накладка передка верхняя ЛиАЗ;186564;Накладка передка верхняя ЛиАЗ;Дублирующая позиция;Да
106908;З/части автоб (413);186588;Накладка угловая передняя правая ЛиАЗ (нов.обр.);186587;Накладка угловая передняя правая ЛиАЗ (нов.обр.);Дублирующая позиция;Да
106908;З/части автоб (413);76876;Отопитель кабины водителя;186930;Отопитель кабины водителя ЛиАЗ-5292;Дублирующая позиция;Да
106908;З/части автоб (413);69685;Фонарь стоп-сигнал;187037;Патрон заднего фонаря ЛиАЗ-5292/ПАЗ-3237  481.3776;Дублирующая позиция;Да
106908;З/части автоб (413);91878;Патрубок угловой, переходной;187116;Патрубок угловой д. 16х25 5256-8120028;Дублирующая позиция;Да
106908;З/части автоб (413);187180;Патрубок угловой;187179;Патрубок угловой д. 50х150х150 на турбонадув  525625-1303123-01;Дублирующая позиция;Да
106908;З/части автоб (413);97865;Пневморессора;187365;Пневмобаллон ЛиАЗ-5256;Дублирующая позиция;Да
106908;З/части автоб (413);83564;Подшипник конический МАЗ;187510;Подшипник 2007109 МАЗ маятн рычага;Дублирующая позиция;Да
106908;З/части автоб (413);83564;Подшипник конический МАЗ;187511;Подшипник 2007109 МАЗ маятн рычага;Дублирующая позиция;Да
106908;З/части автоб (413);50578;Подшипник 7508;187570;Подшипник 7508;Дублирующая позиция;Да
106908;З/части автоб (413);50578;Подшипник 7508;187571;Подшипник 7508;Дублирующая позиция;Да
106908;З/части автоб (413);50578;Подшипник 7508;187572;Подшипник 7508;Дублирующая позиция;Да
106908;З/части автоб (413);50578;Подшипник 7508;187573;Подшипник 7508_1;Дублирующая позиция;Да
106908;З/части автоб (413);120216;Подшипник игольчатый без внутреннего кольца;187688;Подшипник КПП ЗФ;Дублирующая позиция;Да
106908;З/части автоб (413);91975;Подшипник поворотного кулака;187737;Подшипник опорный ЛиАЗ;Дублирующая позиция;Да
106908;З/части автоб (413);91975;Подшипник поворотного кулака;187742;Подшипник опорный ЛиАЗ 5256-3001020;Дублирующая позиция;Да
106908;З/части автоб (413);91975;Подшипник поворотного кулака;187743;Подшипник опорный ЛиАЗ 5256-3001020,;Дублирующая позиция;Да
106908;З/части автоб (413);75646;Подшипник ступицы задней Fiat Ducato 42х75х60;187791;Подшипник ступицы задней Фиат Дукато 42х75х60;Дублирующая позиция;Да
106908;З/части автоб (413);221336;"Предохранитель флажковый 15A ""Мини""";187941;"Предохранитель флажковый 15A ""Мини"" Фиат Дукато";Дублирующая позиция;Да
106908;З/части автоб (413);188010;Пресс-масленка, угловая на 120 градусов, D 8 мм;188009;Пресс-масленка 8мм - 120градусов;Дублирующая позиция;Да
106908;З/части автоб (413);99088;Профиль рассеивателя ЛиАЗ- 5292;188322;Профиль рассеивателя ЛиАЗ- 5292;Дублирующая позиция;Да
106908;З/части автоб (413);72288;Рем. комплект суппорта (мост ZF);188428;Р/К Нажим.Пятаки (*);Дублирующая позиция;Да
106908;З/части автоб (413);52866;"Контакт гнездовой ""мама"" 6,3 мм.";188831;"Разъем автомобильный ""мама"" большой";Дублирующая позиция;Да
106908;З/части автоб (413);44516;Рукав напорный 54 ТУ 0056016-87;189330;Рукав напорный 54 ТУ 0056016-87;Дублирующая позиция;Да
106908;З/части автоб (413);250737;Стекло  ветровое водительское 103-5206011;189773;Стекло ветровое МАЗ левое 1200х1070  103-5206011 БОР;Дублирующая позиция;Да
106908;З/части автоб (413);77645;Стекло ветровое (панорамное);189961;Стекло ЛиАЗ-52922 лобовое панорамное 5292-5206016 Жупырин;Дублирующая позиция;Да
106908;З/части автоб (413);250692;Стекло задка;189965;Стекло ЛиАЗ-529220/6213 задка;Дублирующая позиция;Да
106908;З/части автоб (413);250737;Стекло  ветровое водительское 103-5206011;189992;Стекло МАЗ ветровое левое;Дублирующая позиция;Да
106908;З/части автоб (413);250738;Стекло  ветровое 103-5206010;189993;Стекло МАЗ ветровое правое;Дублирующая позиция;Да
106908;З/части автоб (413);94560;Стеклопакет неподвижный окна под форточкой;190035;Стеклопакет ЛиАЗ-5292 подфорточный;Дублирующая позиция;Да
106908;З/части автоб (413);83587;Фонарь передний указатель поворота;190595;Указатель поворотов передн ЛиАЗ-6213, 5292;Дублирующая позиция;Да
106908;З/части автоб (413);73079;Фара противотуманная;190714;Фара противотуманная ПАЗ, ЛИАЗ  244-3743010;Дублирующая позиция;Да
106908;З/части автоб (413);83541;Фонарь габаритный боковой светодиодный 112.09.82;191145;Фонарь габаритный боковой светодиодный ЛиАЗ - 5292,6213;Дублирующая позиция;Да
106908;З/части автоб (413);83541;Фонарь габаритный боковой светодиодный 112.09.82;191148;Фонарь габаритный боковой светодиодный ЛиАЗ - 5292,6213    112.09.82 (с 2012г);Дублирующая позиция;Да
106908;З/части автоб (413);70682;Фонарь задний верхний контурный огонь (красный);191164;Фонарь габаритный ЛиАЗ-5292, 6213 задний верхний красный круглый;Дублирующая позиция;Да
106908;З/части автоб (413);83368;Фонарь передний габаритный огонь;191167;Фонарь габаритный ЛиАЗ-6213,5292 светодиод;Дублирующая позиция;Да
106908;З/части автоб (413);69684;Фонарь заднего хода;191188;Фонарь заднего хода ПАЗ/ГолАЗ/ЛиАЗ-5292 (491.3776);Дублирующая позиция;Да
106908;З/части автоб (413);69685;Фонарь стоп-сигнал;191190;"Фонарь задний ""СТОП"" ПАЗ/ГолАЗ/ЛиАЗ-5292/Волж.(481.3776)";Дублирующая позиция;Да
106908;З/части автоб (413);69685;Фонарь стоп-сигнал;191202;Фонарь задний ЛиАЗ-5292  нов. обр. круглый  481.3776 красный;Дублирующая позиция;Да
106908;З/части автоб (413);83584;Фонарь задний указателя поворота;191203;Фонарь задний ЛиАЗ-5292  нов. обр. круглый 471.3776 указатель поворотов;Дублирующая позиция;Да
106908;З/части автоб (413);69684;Фонарь заднего хода;191204;Фонарь задний ЛиАЗ-5292  нов. обр. круглый 491.3776 белый;Дублирующая позиция;Да
106908;З/части автоб (413);69685;Фонарь стоп-сигнал;191206;Фонарь задний ЛиАЗ-5292 красный;Дублирующая позиция;Да
106908;З/части автоб (413);69685;Фонарь стоп-сигнал;191208;Фонарь задний ЛиАЗ-5292 круглый  481.3776 красный-тормоза;Дублирующая позиция;Да
106908;З/части автоб (413);69684;Фонарь заднего хода;191209;Фонарь задний ЛиАЗ-5292 круглый 491.3776 белый;Дублирующая позиция;Да
106908;З/части автоб (413);69704;Фонарь габаритный задний красный;191213;Фонарь задний ЛиАЗ-5292, 5256  нов. обр. круглый  541.3731 габаритный-красный;Дублирующая позиция;Да
106908;З/части автоб (413);69704;Фонарь габаритный задний красный;191214;Фонарь задний ЛиАЗ-5292, 5256 круглый  541.3731 габаритный-красный;Дублирующая позиция;Да
106908;З/части автоб (413);69704;Фонарь габаритный задний красный;191215;Фонарь задний ЛиАЗ-5292, 5256 круглый  габаритный-красный;Дублирующая позиция;Да
106908;З/части автоб (413);83584;Фонарь задний указателя поворота;191216;Фонарь задний ЛиАЗ-5292, Голаз52511,6228 круглый 471.3776 указатель поворотов;Дублирующая позиция;Да
106908;З/части автоб (413);83854;Плафон освещения пространства у двери;191230;Фонарь освещения входной двери ЛиАЗ-5256 3012.3714;Дублирующая позиция;Да
106908;З/части автоб (413);70682;Фонарь задний верхний контурный огонь (красный);191251;Фонарь ПАЗ-3237, ЛИАЗ-5292   габаритный задний верхний красный круглый 521.3731;Дублирующая позиция;Да
106908;З/части автоб (413);69705;Фонарь передний контурный огонь (белый);191252;Фонарь ПАЗ-3237, ЛИАЗ-5292   габаритный передний верхний белый  531.3731;Дублирующая позиция;Да
106908;З/части автоб (413);69705;Фонарь передний контурный огонь (белый);191253;Фонарь ПАЗ-3237, ЛиАЗ-5292  габаритный передний верхний белый;Дублирующая позиция;Да
106908;З/части автоб (413);76210;Фонарь повторителя поворота задний верхний;191255;Фонарь ПАЗ-3237, ЛИАЗ-5292  повторитель поворотов задний верхний 611.3726;Дублирующая позиция;Да
106908;З/части автоб (413);83584;Фонарь задний указателя поворота;191257;Фонарь поворот.задн.(471.3776) ПАЗ/ГолАЗ/ЛиАЗ-5292;Дублирующая позиция;Да
106908;З/части автоб (413);98744;Фонарь боковой повторитель указателей поворота;191263;Фонарь повторитель поворотов желтый ЛиАЗ-5292 желтый овальный;Дублирующая позиция;Да
106908;З/части автоб (413);76210;Фонарь повторителя поворота задний верхний;191269;Фонарь повторитель указателя поворотов ЛиАЗ-5292, ПАЗ-3237 задний верхний;Дублирующая позиция;Да
106908;З/части автоб (413);76953;Фонарь указатель поворотов передний;191280;Фонарь указатель поворотов передний светодиодный (комб) ПАЗ-3237,ЛиАЗ-5292,6213;Дублирующая позиция;Да
106908;З/части автоб (413);227727;Шланг компрессора;191860;Шланг компрессора ЛиАЗ 5292 (длина 400 мм, гайка 32);Дублирующая позиция;Да
106908;З/части автоб (413);191897;Шланг компрессора;191861;Шланг компрессора ЛиАЗ 5292 (длина 520 мм, гайка 32);Дублирующая позиция;Да
106908;З/части автоб (413);191897;Шланг компрессора;191862;Шланг компрессора ЛиАЗ 5292 (длина 520 мм, гайка 32);Дублирующая позиция;Да
106908;З/части автоб (413);227727;Шланг компрессора;191893;Шланг компрессора ЛиАЗ-5292-3506352-01 (гайка 32, L-440мм)  t-204  высокотемпературный дв. Cummins;Дублирующая позиция;Да
106908;З/части автоб (413);227727;Шланг компрессора;191894;Шланг компрессора ЛиАЗ-5292.20-3506352-01с дв. МАН (32(45гр)-гайка 32, L400),  высокот. (3.13)(10358;Дублирующая позиция;Да
106908;З/части автоб (413);227727;Шланг компрессора;191895;Шланг компрессора ЛиАЗ-5292.20-3506352-01с дв. МАН (32(45гр)-гайка 32, L400),  высокот. (3.13)(10358;Дублирующая позиция;Да
106908;З/части автоб (413);227727;Шланг компрессора;191896;Шланг компрессора ЛиАЗ-5292.20-3506352-01с дв. МАН (32(45гр)-гайка 32, L400),  высокот. (3.13)(10358;Дублирующая позиция;Да
106908;З/части автоб (413);240997;Лампа 24V70 H7;218605;Лампа 24V70(24Vx70) (H7);Дублирующая позиция;Да
106908;З/части автоб (413);85166;Стекло подвижное  водителя 101-5403052;223748;Стекло МАЗ окна водителя подвижное;Дублирующая позиция;Да
106908;З/части автоб (413);94563;Стеклопакет верхний;223842;Стеклопакет ЛиАЗ-5292, 6213 водительский верхний;Дублирующая позиция;Да
106909;З/части эл транспорта (414);235450;Рассеиватель широкий белый;234485;Рассеиватель широкий белый ФП-117-204;Дублирующая позиция;Да
106909;З/части эл транспорта (414);76718;Световозвращатель кр. ФП 310Е 3731-01;233539;Световозвращатель кр.ФП 310.Е 3731-01;Дублирующая позиция;Да
106909;З/части эл транспорта (414);59111;Стекло кабины водителя подвижное 71-619А 619К.37.00.016;192312;СТЕКЛО 619К 37 00 016;Дублирующая позиция;Да
106909;З/части эл транспорта (414);77970;Стекло лобовое 71-619А;192318;СТЕКЛО 619К 37.37.00.033;Дублирующая позиция;Да
106909;З/части эл транспорта (414);79165;Стекло панорам.АКСМ/БКМ 321-130700.021;192354;СТЕКЛО ВЕТР АКСМ 321-130700.021 ПОСЛЕ 2009Г;Дублирующая позиция;Да
106909;З/части эл транспорта (414);77970;Стекло лобовое 71-619А;192388;СТЕКЛО КАБИН ЛОБ 619К 37 00 033;Дублирующая позиция;Да
106909;З/части эл транспорта (414);237983;Стекло ветровое МАС-Т.082.000;192410;СТЕКЛО ПАНОРАМ ВМЗ-5298 МАС-Т082-000;Дублирующая позиция;Да
106909;З/части эл транспорта (414);237983;Стекло ветровое МАС-Т.082.000;192411;СТЕКЛО ПАНОРАМ ВМЗ-5298 МАС-Т082-000;Дублирующая позиция;Да
106909;З/части эл транспорта (414);81522;Сальник задн.моста 155х190х17;231560;Сальник 155х190х17;Дублирующая позиция;Да
106909;З/части эл транспорта (414);80769;Втулка;233053;Втулка 663714;Дублирующая позиция;Да
106914;Консигнационные товары (2);67586;Подшипник шариковый;196557;ПОДШИПНИК 6207;Дублирующая позиция;Да
106914;Консигнационные товары (2);72544;Подшипник  6304;196579;ПОДШИПНИК 6304;Дублирующая позиция;Да
106914;Консигнационные товары (2);50578;Подшипник 7508;196618;ПОДШИПНИК 7508;Дублирующая позиция;Да
106914;Консигнационные товары (2);50578;Подшипник 7508;196619;ПОДШИПНИК 7508_1;Дублирующая позиция;Да
106914;Консигнационные товары (2);55035;Подшипник 7520;196630;ПОДШИПНИК 7520;Дублирующая позиция;Да
106914;Консигнационные товары (2);55035;Подшипник 7520;196631;ПОДШИПНИК 7520_1;Дублирующая позиция;Да
106914;Консигнационные товары (2);52932;Подшипник 80207;196668;ПОДШИПНИК 80207;Дублирующая позиция;Да
106915;Корпоративная одежда (412);262746;РУБАШКА ЖЕН ПОВС Д/Р 112-116 ,182-188;262747;РУБАШКА ЖЕН ПОВС Д/Р 112-116 ,182-188;Дублирующая позиция;Да
106915;Корпоративная одежда (412);43982;Рубашка жен. парад. к/р 52-54,182-188;262696;РУБАШКА ЖЕН ПАРАД К/Р 52-54,182-188;Дублирующая позиция;Да
106915;Корпоративная одежда (412);44014;Рубашка жен. парад. к/р 60-62,170-176;262695;РУБАШКА ЖЕН ПАРАД К/Р 60-62,170-176;Дублирующая позиция;Да
106915;Корпоративная одежда (412);43998;Рубашка жен. парад.к/р 40-42/158-164;262754;РУБАШКА ЖЕН ПАРАД К/Р 40-42,158-164;Дублирующая позиция;Да
106915;Корпоративная одежда (412);198598;РУБАШКА МУЖ ПАРАД Д/Р 42,158-164;198599;РУБАШКА МУЖ ПАРАД Д/Р 42,158-164_1;Дублирующая позиция;Да
106915;Корпоративная одежда (412);43978;Рубашка жен. парад. к/р 48-50/170-176;262692;РУБАШКА ЖЕН ПАРАД К/Р 48-50,170-176;Дублирующая позиция;Да
106916;Масла (1033);104284;"Смазка ""Литол 24""";199012;СМАЗКА ЛИТОЛ-24;Дублирующая позиция;Да
106927;Ремонтные материалы (1013);55305;Подшипник 1210;201510;ПОДШИПНИК 1210;Дублирующая позиция;Да
106932;Товары (411);22848;Кабель КГ 4х1,5;203254;КАБЕЛЬ КГ 4Х1,5;Дублирующая позиция;Да
106932;Товары (411);55305;Подшипник 1210;204356;ПОДШИПНИК 1210;Дублирующая позиция;Да
106932;Товары (411);50929;Подшипник шариковый;204416;ПОДШИПНИК 212;Дублирующая позиция;Да
106932;Товары (411);48574;Подшипник конический;204478;ПОДШИПНИК 7208;Дублирующая позиция;Да
106932;Товары (411);50578;Подшипник 7508;204494;ПОДШИПНИК 7508;Дублирующая позиция;Да
106932;Товары (411);55035;Подшипник 7520;204503;ПОДШИПНИК 7520;Дублирующая позиция;Да
106932;Товары (411);55048;Подшипник шарнирный двери;204565;ПОДШИПНИК ШСП 15;Дублирующая позиция;Да
106937;Электрика (1018);18840;Провод ПУГНП 2х1,5;207250;ПРОВОД ПУГНП 2Х1.5;Дублирующая позиция;Да
106948;Материалы склада Сколково счет учета 10,02;91979;Втулка шкворня кулака (сталь) ЛИАЗ;127267;Втулка распор.стал.шквор.5256-3001027;Дублирующая позиция;Да
259819;Покупные комплектующие;237704;Катушка магнитная;260255;605.15.12.000-01 Катушка;Дублирующая позиция;Да
